City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,port hawkesbury,CA,45.6169,-61.3485,87.91,72,20,8.05,few clouds
338,muroto,JP,33.2833,134.15,83.43,78,86,6.73,overcast clouds
339,khash,IR,28.2211,61.2158,81.21,17,0,3.42,clear sky
340,frederick,US,39.4668,-77.3997,92.17,66,75,12.66,broken clouds
341,panzhihua,CN,26.5851,101.7128,69.04,94,88,0.67,overcast clouds
342,dingle,PH,10.9995,122.6711,74.23,92,99,3.89,overcast clouds
343,flinders,AU,-34.5833,150.8552,53.19,71,23,8.01,few clouds
344,dwarka,IN,22.2394,68.9678,81.99,88,100,14.18,overcast clouds
345,rapar,IN,23.5667,70.6333,84.2,79,100,9.24,overcast clouds
346,puerto madryn,AR,-42.7692,-65.0385,43.88,75,100,10.11,overcast clouds
347,langarud,IR,37.197,50.1535,77.05,79,15,6.42,few clouds
348,yankton,US,42.8711,-97.3973,68.11,94,100,17.27,overcast clouds
349,phan thiet,VN,10.9333,108.1,76.62,81,100,9.89,overcast clouds
350,prince george,CA,53.9166,-122.753,80.26,41,20,11.5,few clouds
351,maun,BW,-19.9833,23.4167,57.16,58,0,2.3,clear sky
352,kidal,ML,18.4411,1.4078,93.07,30,42,11.3,scattered clouds
353,longyearbyen,SJ,78.2186,15.6401,46.24,93,75,10.36,broken clouds
354,hovd,MN,48.0056,91.6419,61.99,38,0,5.35,clear sky
